48
512
86 1 32400 50 4
437 2 10800 1641 8
467 3 36000 2783 1
1811 4 3600 6 1
2009 5 36000 96 16
2079 6 1200 26 11
2318 7 21600 3 4
2335 8 14400 378 1
2351 9 22200 1 1
4518 10 300 3 2
4640 11 21600 5 4
9032 12 22200 15372 8
9539 13 36000 25165 4
10565 14 27600 27420 32
10896 15 21600 23 16
19417 16 36000 866 1
21546 17 36000 23209 4
21730 18 1200 64 8
21921 19 33600 57 2
22076 20 14400 58 4
22288 21 30000 9 4
22367 22 300 179 6
22458 23 36000 26337 1
28073 24 10800 75 2
28134 25 900 8 1
28149 26 14400 8 3
28154 27 36000 16 2
28282 28 32400 39 4
28338 29 1800 110 4
28835 30 900 21 1
28978 31 32400 15 2
28990 32 36000 127 1
29143 33 7200 28 32
29250 34 1200 121 4
29264 35 33600 46 4
31554 36 36000 12 16
32022 37 900 10 5
32406 38 14400 5 1
33024 39 10800 4 1
33081 40 36000 10 1
33096 41 34800 2 4
35130 42 10800 2 1
35155 43 600 124 2
35218 44 900 3 4
35259 45 300 205 21
35871 46 36000 84 5
35915 47 600 3 13
36159 48 36000 3 4
36205 49 8160 2 2
36703 50 36000 1 13
36738 51 25200 4 9
36884 52 31200 5280 2
36903 53 31200 13 3
37253 54 36000 324 2
37304 55 3600 32 16
37402 56 28800 97 1
37413 57 1200 3 8
37448 58 36000 22 1
37470 59 10140 19 1
37493 60 900 5 32
37804 61 36000 2 1
37863 62 1200 3 8
38505 63 1800 14 4
38526 64 1200 7 8
40685 65 31200 23 4
41183 66 27600 7 4
41476 67 14400 29 2
41531 68 600 27 16
41547 69 36000 9 1
41571 70 36000 2 2
42347 71 30000 3 1
42416 72 36000 2 1
42438 73 300 97 4
42919 74 10800 33 4
42957 75 600 2 1
43178 76 36000 32 14
43705 77 6360 1 1
43709 78 3600 20 4
43742 79 18000 238 26
44337 80 900 2 1
44342 81 33600 3 4
44831 82 10800 419 4
44846 83 21600 6 2
45700 84 10800 6 7
45709 85 36000 145 4
45735 86 900 673 4
45761 87 31200 3 4
45796 88 34800 28 6
45897 89 10800 153 4
45935 90 25200 6 16
45966 91 600 3 4
45981 92 36000 5 8
46457 93 31200 31 8
46469 94 900 6 4
46481 95 1200 14 4
46624 96 19440 26 8
46629 97 18000 6 16
46656 98 10800 89 1
46693 99 10800 28 4
47097 100 900 20 4
47108 101 36000 2 4
47134 102 36000 41 4
47212 103 36000 5 1
47227 104 28500 10 4
47353 105 22200 433 30
47590 106 36000 2526 4
47610 107 28500 18 4
47639 108 300 13 4
47743 109 10800 77 8
47813 110 1200 27 1
48027 111 14400 18 4
48100 112 300 5 4
48103 113 28800 31 1
51837 114 14400 5 5
51897 115 36000 50 4
51973 116 36000 1 4
51985 117 36000 6 2
52012 118 600 76 1
52143 119 900 242 2
52145 120 1200 9 1
52206 121 36000 4 3
52219 122 14400 10 32
52265 123 3600 64 4
52335 124 31200 3 2
52511 125 36000 7 2
52517 126 31200 15 16
52556 127 1200 36 16
52877 128 600 23 1
53098 129 36000 8 10
53124 130 3600 7 8
53604 131 19440 188 23
53910 132 900 10 2
53970 133 36000 10 2
54424 134 3600 19 2
54719 135 900 6 4
54731 136 36000 18 1
54738 137 30000 353 8
54754 138 900 62 3
54774 139 300 6 4
54890 140 7200 7 4
54897 141 1200 12 8
54902 142 300 5 16
55393 143 14400 87 8
55403 144 14400 5 2
55419 145 32400 5 32
55423 146 600 136 18
55465 147 900 28 6
55505 148 900 5 4
55706 149 36000 56 2
55707 150 600 112 4
55724 151 25260 1600 24
56634 152 19440 5 2
56638 153 36000 1983 1
56648 154 10800 123 1
56651 155 25260 2 8
56664 156 1200 69 1
56784 157 1800 73 2
56835 158 300 10 8
56886 159 900 88 2
56950 160 900 43 4
56976 161 27600 16 4
57086 162 35970 188 1
57105 163 30000 5 8
57240 164 300 19 5
57263 165 900 8 4
57275 166 300 4 8
57357 167 300 109 4
57365 168 31200 55 1
57740 169 36000 2 8
57889 170 31200 2 8
57898 171 34800 7 4
57918 172 33600 7 4
58362 173 10800 173 2
58483 174 300 17 4
58807 175 300 7 4
58854 176 27600 29 4
58942 177 3000 9 4
58952 178 36000 12 5
59235 179 36000 7166 2
59239 180 36000 11 8
59247 181 22200 1255 1
59249 182 900 3 4
59276 183 14400 8 1
59294 184 36000 45 1
59305 185 1200 19 4
59328 186 28800 8 1
59333 187 600 9 4
59340 188 36000 67 16
59343 189 14400 50 31
59432 190 36000 25 4
59574 191 900 3 4
62166 192 7200 6 16
62171 193 25260 4 8
62190 194 36000 11 16
63018 195 600 4 4
63033 196 10800 7 16
63201 197 300 3 12
63250 198 36000 4 2
63610 199 300 4 4
63619 200 25200 49 32
63719 201 28500 35 2
65687 202 900 4 16
65712 203 900 11 1
65720 204 600 185 4
65725 205 300 8 1
65780 206 300 11 2
65815 207 22200 11 8
65905 208 600 13 16
66160 209 1200 23 4
66444 210 19440 45 3
66604 211 900 1 4
66627 212 1200 117 8
68219 213 36000 198 4
68402 214 3000 6 18
68437 215 900 38 16
73872 216 36000 1 4
73880 217 25200 35 16
77347 218 36000 7 6
77393 219 35970 4 2
77556 220 1200 17 32
77809 221 31200 19 1
77821 222 300 3 4
78017 223 25200 12 5
78061 224 36000 39 4
78094 225 14400 12 5
78162 226 10800 564 16
78192 227 600 9 1
78244 228 36000 2 2
78388 229 1200 32 4
78695 230 600 33 18
78799 231 600 2 8
79000 232 600 28 16
79500 233 14460 18 4
79511 234 36000 9 7
79531 235 6360 335 2
79546 236 12240 6 8
79563 237 28800 326 4
79735 238 18000 4 1
79788 239 900 79 10
79819 240 36000 4 4
79943 241 1200 2 8
79992 242 14400 2 4
79999 243 28500 7 2
80051 244 300 42 7
84128 245 900 2 3
84190 246 600 58 2
84466 247 36000 2 2
111237 248 600 1 11
111259 249 900 5 13
111279 250 36000 1128 4
113796 251 1200 2 2
113831 252 36000 58 1
113988 253 28800 7 4
113997 254 1800 50 32
114000 255 1200 35 16
114475 256 1200 2 4
114484 257 3600 17 8
114542 258 31200 12 4
116040 259 1200 6 8
116279 260 1200 10 8
116294 261 600 20 3
116305 262 25200 72 32
119892 263 36000 3 3
119961 264 900 11 2
120084 265 22200 6 2
120520 266 28800 26 2
120540 267 36000 169 3
120558 268 28800 5 8
121365 269 28800 10 8
121548 270 34800 66 32
121640 271 36000 8 8
121648 272 27600 9 5
121683 273 300 111 1
121699 274 4620 145 4
121748 275 1800 6 8
